OBSRVTN_NB,DATETIME_DTM,PNT_NM,QUALIFIER_TXT,PNT_ATRISKNOTES_TX,PNT_ATRISKFOLWUPNTS_TX
330560,3/15/2023 11:01,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.",Awareness of environment,"[NAME] was working a near by cliff that had about a 20' drop off, crew didn't discuss as a hazard on briefing, i discussed with GF and he told the foreman to make the corrections and place something out there to give crews a visual.",
164330,7/9/2019 10:00,Vehicle Operating Condition,Other - Vehicle Operating Condition,[NAME] trucks with cut out bumbers need a hitch step fabricated to facilitate safe entry and exit from the back,
265239,8/1/2022 10:15,Suspended Load/Overhead Work,Other - Suspended Load/Overhead Work,Employee rigged a concrete culvert to be off load from a flat bed trailer. Employee was in line of fire when culvert was being lifted.,"Coached employee that once he had the culverts rigged up to come off the trailer, which would remove the possibility of the employee being struck by the culvert."
404438,10/18/2023 12:06,PPE - Workforce,Other - PPE Workforce,[NAME] tender was not wearing his Hardhat. I recommended they discuss PPE use during the after lunch briefing.,
83172,3/3/2021 11:00,Climbing - Procedures,"Was a drop zone established, and clearly marked?",A drop zone was not clearly marked by the crew while the climber aloft was bringing the tree down to a spar.,
438962,2/22/2024 12:24,PPE,Personal voltage detector,Discussed the need to utilize PVDs during assessment with unknown conditions and downed lines. AEP Utilities - PVD Policy,
485230,8/5/2024 9:30,PPE - Transmission,Hearing protection as required by OSHA and in Owner-designated areas,"Team was wearing all appropriate PPE for the tasks at hand until the hydrovac team started their work. I noticed that the equipment was rather loud, so I conducted a noise survey and shared the results with the team. I also shared the NIOSH app that I was using with the crew leaders as well. They weren't familiar with it, and they downloaded the application for their use too. Kudos to the team, as they all went and got their hearing protection and thanked me for sharing the results.",
40409,6/24/2020 10:03,Complete job briefing given (Forestry),Other / Job Briefing,"No [NAME] version available. [NAME] went over briefing with us. Explained the need for and purpose of [NAME] briefing. Need more detail on ATE fire briefing; no assignments, water source, or humidity.",
424794,12/28/2023 11:02,Stop When Uncertain,Assistance requested,After looking at the job LCS requested a Vac truck due to seeing the markings of all underground utilities in the area.,
